Hostname,Host ID,Last Seen,First Seen,Platform,OS Version,Type,Local IP,External IP,MAC Address,Sensor Version,Host Groups,Sensor Tags,Last Logged In User Account,Prevention Policy,Sensor Update Policy,Content Update Policy,Host Retention Policy
SYRWS02,16c0e3e1138843169298b4c053f5dc07,2026:03:19T19:07:44Z,2026:02:18T19:07:21Z,Windows,Windows 10,Workstation,10.0.110.52,68.111.46.179,00:a0:a4:35:43:07,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:40 UTC","platform_default
27 Feb 26 18:00 UTC","platform_default
18 Feb 26 19:28 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:30 UTC"
SYRWS03,f10fcf034d6743eb891a2a9665aeddff,2026:03:19T18:50:49Z,2026:02:18T19:05:26Z,Windows,Windows 10,Workstation,10.0.110.53,68.111.46.179,00:a0:a4:35:46:60,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:40 UTC","platform_default
27 Feb 26 18:04 UTC","platform_default
18 Feb 26 19:13 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:14 UTC"
SYRWS04,3b4e0286b4b547e88a8f4c94fd822917,2026:03:19T19:12:01Z,2026:02:18T19:06:20Z,Windows,Windows 10,Workstation,10.0.110.54,68.111.46.179,00:a0:a4:35:43:bc,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:41 UTC","platform_default
27 Feb 26 18:06 UTC","platform_default
18 Feb 26 19:08 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:08 UTC"
SYRWS05,476a926533164d00990864bbd07e399e,2026:03:19T19:06:24Z,2026:02:18T19:07:05Z,Windows,Windows 10,Workstation,10.0.110.55,68.111.46.179,00:a0:a4:35:12:fa,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:41 UTC","platform_default
27 Feb 26 18:03 UTC","platform_default
18 Feb 26 19:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:12 UTC"
SYRWS06,04550b07fd52414db3c1a262f382f6db,2026:03:19T19:02:49Z,2026:02:18T19:05:21Z,Windows,Windows 10,Workstation,10.0.110.56,68.111.46.179,00:a0:a4:35:43:18,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:42 UTC","platform_default
27 Feb 26 18:00 UTC","platform_default
18 Feb 26 19:07 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:09 UTC"
SYRWS07,99aea9f9c2654a638fa315b411bfb33f,2026:03:19T19:12:15Z,2026:02:18T19:07:01Z,Windows,Windows 10,Workstation,10.0.110.57,68.111.46.179,00:a0:a4:35:31:59,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:38 UTC","platform_default
27 Feb 26 17:59 UTC","platform_default
18 Feb 26 19:10 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:10 UTC"
SYRWS08,1aa7598ac4d14b33a3df873668e97589,2026:03:19T19:19:47Z,2026:02:18T19:07:19Z,Windows,Windows 10,Workstation,10.0.110.58,68.111.46.179,00:a0:a4:35:53:49,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 15:02 UTC","platform_default
27 Feb 26 17:58 UTC","platform_default
18 Feb 26 19:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:09 UTC"
SYRWS09,55cb90abb7c7433ba16638778cf51c7c,2026:03:19T19:11:21Z,2026:02:18T19:07:25Z,Windows,Windows 10,Workstation,10.0.110.59,68.111.46.179,00:a0:a4:35:43:9d,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:41 UTC","platform_default
27 Feb 26 17:58 UTC","platform_default
18 Feb 26 19:17 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:18 UTC"
SYRWS10,6f7f043a5a3a42d68efc4794a66fa322,2026:03:19T19:20:26Z,2026:02:18T19:06:18Z,Windows,Windows 10,Workstation,10.0.110.60,68.111.46.179,00:a0:a4:35:46:32,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:42 UTC","platform_default
27 Feb 26 18:00 UTC","platform_default
18 Feb 26 19:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:12 UTC"
SYRWS11,d4ef3c3c2efa467488ae7e6a46de8a25,2026:03:19T19:10:51Z,2026:02:18T19:07:18Z,Windows,Windows 10,Workstation,10.0.110.61,68.111.46.179,00:a0:a4:35:3e:43,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:40 UTC","platform_default
27 Feb 26 18:00 UTC","platform_default
18 Feb 26 19:28 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:30 UTC"
SYRWS12,5f770abd6a1141858a5486e66ac83714,2026:03:19T19:12:56Z,2026:02:18T19:07:28Z,Windows,Windows 10,Workstation,10.0.110.62,68.111.46.179,00:a0:a4:35:5f:14,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,SYR,"Nexplay : Phase 1 Detect
19 Feb 26 14:41 UTC","platform_default
27 Feb 26 18:00 UTC","platform_default
18 Feb 26 19:13 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:13 UTC"
SYRWS_38,3a1edfd4cafd409596a77347713d632e,2026:03:19T19:12:21Z,2026:02:18T19:06:32Z,Windows,Windows 11,Workstation,192.168.7.73,174.76.115.194,2c:f0:5d:4e:e4:12,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,jovelasco,"Nexplay : Phase 1 Detect
19 Feb 26 14:39 UTC","platform_default
27 Feb 26 17:59 UTC","platform_default
18 Feb 26 19:10 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:11 UTC"
SYRWS_43,51350b2e84044a749ad57a9f3cab2ce5,2026:03:19T19:03:05Z,2026:02:18T19:07:17Z,Windows,Windows 11,Workstation,192.168.7.80,159.100.175.51,d8:bb:c1:b9:fe:7d,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,iwilliams,"Nexplay : Phase 1 Detect
19 Feb 26 19:22 UTC","platform_default
27 Feb 26 19:20 UTC","platform_default
18 Feb 26 19:10 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:12 UTC"
SYRWS_44,033f559a679e4464b554ed909d236abc,2026:03:01T00:43:29Z,2026:02:18T19:05:35Z,Windows,Windows 10,Workstation,10.0.104.41,68.111.46.179,88:d8:2e:55:74:45,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,,"Nexplay : Phase 1 Detect
19 Feb 26 14:42 UTC","platform_default
27 Feb 26 17:58 UTC","platform_default
18 Feb 26 19:11 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:11 UTC"
SYRWS_45,a47e9a36e9f041fd8c2e3960864af46d,2026:03:19T18:42:28Z,2026:02:18T19:07:10Z,Windows,Windows 11,Workstation,10.0.104.227,159.100.175.51,a0:59:50:04:72:89,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,cheras,"Nexplay : Phase 1 Detect
19 Feb 26 14:38 UTC","platform_default
27 Feb 26 18:09 UTC","platform_default
18 Feb 26 19:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 19:10 UTC"
SYRWS_49,8456200dc7e342b9914a7fb44c8ab0bc,2026:03:19T19:03:25Z,2026:02:18T21:24:36Z,Windows,Windows 11,Workstation,192.168.7.78,174.76.115.194,d8:bb:c1:b9:26:f1,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,Jgil,"Nexplay : Phase 1 Detect
19 Feb 26 15:44 UTC","platform_default
02 Mar 26 20:37 UTC","platform_default
18 Feb 26 21:27 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 21:33 UTC"
SYR_WS50,816c615e2d474fbd946e17791a0ffa89,2026:03:19T18:57:44Z,2026:02:18T20:04:35Z,Windows,Windows 11,Workstation,192.168.7.68,174.76.115.194,d8:bb:c1:b9:26:70,7.32.20403.0,San Ysidro Ranch,SensorGroupingTags/San_Ysidro_Ranch,emazariegos,"Nexplay : Phase 1 Detect
19 Feb 26 14:42 UTC","platform_default
27 Feb 26 18:03 UTC","platform_default
18 Feb 26 20:09 UTC","Default Policy (Windows, Linux, Mac, ChromeOS, K8S)
18 Feb 26 20:10 UTC"
